対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人
AT04,取得時：鉱山×2VP,惑星,8,12,16,12,16,16,16,12,16,12,16,12,16,12
AT04,取得時：鉱山×2VP,航法,16,16,16,16,16,16,16,9,16,0,16,16,16,16
AT04,取得時：鉱山×2VP,人工知能,16,16,16,16,16,16,16,12,16,16,16,16,16,16
AT04,取得時：鉱山×2VP,ガイア,16,8,12,16,4,12,8,12,8,16,8,16,4,16
AT04,取得時：鉱山×2VP,経済,12,16,16,12,16,16,16,12,16,16,16,16,16,16
AT04,取得時：鉱山×2VP,科学,12,12,12,12,12,12,12,9,12,12,12,12,12,12
AT06,取得時：宙域×鉱石1,惑星,5,8,10,4,10,10,8,4,8,3,8,8,8,6
AT06,取得時：宙域×鉱石1,航法,10,10,10,8,10,10,8,3,8,0,8,10,8,8
AT06,取得時：宙域×鉱石1,人工知能,10,10,10,8,10,10,8,4,8,6,8,10,8,8
AT06,取得時：宙域×鉱石1,ガイア,10,5,8,8,3,8,4,4,4,6,4,10,2,8
AT06,取得時：宙域×鉱石1,経済,8,10,10,6,10,10,8,4,8,6,8,10,8,8
AT06,取得時：宙域×鉱石1,科学,5,8,5,4,5,5,4,2,6,3,8,8,6,8
AT08,取得時：ガイア惑星×2VP,惑星,15,8,8,15,8,8,8,12,8,9,8,8,8,16
AT08,取得時：ガイア惑星×2VP,航法,20,10,10,20,10,10,10,12,10,0,10,10,10,16
AT08,取得時：ガイア惑星×2VP,人工知能,20,10,10,20,10,10,10,12,10,12,10,10,10,16
AT08,取得時：ガイア惑星×2VP,ガイア,20,10,10,20,10,10,10,16,10,12,10,10,10,16
AT08,取得時：ガイア惑星×2VP,経済,15,10,10,15,10,10,10,12,10,12,10,10,10,16
AT08,取得時：ガイア惑星×2VP,科学,15,8,5,15,5,5,5,8,8,6,10,8,8,16
AT09,取得時：交易所×4VP,惑星,12,12,16,12,16,16,16,16,16,12,16,12,16,16
AT09,取得時：交易所×4VP,航法,16,16,16,16,16,16,16,12,16,0,16,16,16,16
AT09,取得時：交易所×4VP,人工知能,16,16,16,16,16,16,16,16,16,16,16,16,16,16
AT09,取得時：交易所×4VP,ガイア,16,8,12,16,4,12,8,16,8,16,8,16,4,16
AT09,取得時：交易所×4VP,経済,16,16,16,16,16,16,16,16,16,16,16,16,16,16
AT09,取得時：交易所×4VP,科学,8,12,8,8,8,8,8,8,12,8,16,12,12,16
AT10,取得時：宙域×2VP,惑星,8,15,20,10,20,20,16,12,14,7,14,15,20,15
AT10,取得時：宙域×2VP,航法,16,20,20,20,20,20,16,12,14,0,14,20,20,20
AT10,取得時：宙域×2VP,人工知能,16,20,20,20,20,20,16,12,14,14,14,20,20,20
AT10,取得時：宙域×2VP,ガイア,16,10,15,20,5,15,8,12,7,14,7,20,5,20
AT10,取得時：宙域×2VP,経済,12,20,20,15,20,20,16,12,14,14,14,20,20,20
AT10,取得時：宙域×2VP,科学,8,15,10,10,10,10,8,6,11,7,14,15,15,20
AT12,取得時：同盟タイル×5VP,惑星,20,25,25,25,20,25,20,25,20,20,20,25,20,20
AT12,取得時：同盟タイル×5VP,航法,20,25,25,25,20,25,20,19,20,0,20,25,20,20
AT12,取得時：同盟タイル×5VP,人工知能,20,25,25,25,20,25,20,25,20,20,20,25,20,20
AT12,取得時：同盟タイル×5VP,ガイア,20,13,19,25,5,19,10,25,10,20,10,25,5,20
AT12,取得時：同盟タイル×5VP,経済,15,25,25,19,20,25,20,25,20,20,20,25,20,20
AT12,取得時：同盟タイル×5VP,科学,10,19,13,13,10,13,10,13,15,10,20,19,15,20
AT03,アクション：QIC1＋クレジット5,惑星,16,24,32,13,38,32,47,38,32,19,32,24,32,24
AT03,アクション：QIC1＋クレジット5,航法,24,32,24,26,38,32,35,29,24,0,32,32,32,32
