対応表,タイル,ラウンド,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
RS01,鉱山建設 +2VP,R1,5,5,3,8,3,5,3,6,6,3,0,5,3,0,6,6,6,6
RS01,鉱山建設 +2VP,R2,3,3,3,8,3,5,3,6,6,3,0,5,3,0,6,6,6,6
RS01,鉱山建設 +2VP,R3,10,10,10,12,10,10,10,12,12,10,12,10,10,10,9,6,12,12
RS01,鉱山建設 +2VP,R4,10,10,10,12,10,10,10,12,12,10,12,10,10,10,9,6,12,12
RS01,鉱山建設 +2VP,R5,10,10,10,8,10,10,10,12,12,10,12,10,10,10,12,6,12,12
RS01,鉱山建設 +2VP,R6,10,10,10,8,10,10,10,12,12,10,12,10,10,10,12,6,12,12
RS02,交易所建設 +3VP,R1,3,3,3,3,3,3,6,6,3,3,6,6,6,3,3,3,3,3
RS02,交易所建設 +3VP,R2,6,6,6,6,6,6,12,3,3,3,3,6,3,3,3,3,3,3
RS02,交易所建設 +3VP,R3,6,6,6,6,6,6,12,6,6,6,3,6,6,6,6,6,6,6
RS02,交易所建設 +3VP,R4,6,6,6,6,6,6,12,6,6,6,3,6,6,6,6,6,6,6
RS02,交易所建設 +3VP,R5,6,6,6,6,6,6,12,6,6,6,6,6,6,6,6,6,6,6
RS02,交易所建設 +3VP,R6,6,6,6,6,6,6,12,6,6,6,9,6,9,9,6,6,6,6
RS03,交易所建設 +4VP,R1,4,4,4,4,4,4,8,4,4,4,8,8,8,8,4,4,4,4
RS03,交易所建設 +4VP,R2,8,8,8,8,8,8,16,4,4,4,4,8,4,4,4,4,4,4
RS03,交易所建設 +4VP,R3,8,8,8,8,8,8,16,8,8,8,4,8,8,8,8,8,8,8
RS03,交易所建設 +4VP,R4,8,8,8,8,8,8,16,8,8,8,4,8,8,8,8,8,8,8
RS03,交易所建設 +4VP,R5,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8
RS03,交易所建設 +4VP,R6,8,8,8,8,8,8,16,8,8,8,12,8,12,12,8,8,8,8
RS04,学院・惑星首府建設 +5VP,R1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5
RS04,学院・惑星首府建設 +5VP,R2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
RS04,学院・惑星首府建設 +5VP,R3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
RS04,学院・惑星首府建設 +5VP,R4,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,5,10
RS04,学院・惑星首府建設 +5VP,R5,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,5,10
RS04,学院・惑星首府建設 +5VP,R6,10,10,10,10,10,10,10,5,10,10,10,10,10,10,10,10,5,10
RS05,ガイア惑星に鉱山建設 +3VP,R1,3,3,6,9,3,3,3,3,3,3,3,3,3,3,6,3,3,3
RS05,ガイア惑星に鉱山建設 +3VP,R2,9,6,6,9,6,6,6,9,6,9,6,6,6,3,6,3,3,3
RS05,ガイア惑星に鉱山建設 +3VP,R3,12,6,6,12,6,6,6,12,6,12,6,6,6,6,12,12,3,3
RS05,ガイア惑星に鉱山建設 +3VP,R4,12,6,9,12,6,6,6,12,6,12,6,6,6,6,12,12,6,6
RS05,ガイア惑星に鉱山建設 +3VP,R5,12,6,9,12,6,6,6,12,6,12,6,6,6,6,12,12,6,6
RS05,ガイア惑星に鉱山建設 +3VP,R6,9,6,9,9,6,6,6,9,6,9,6,6,6,9,12,12,6,6
