対応表,タイル,船,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
FEDG1,金枠同盟：12VP（緑面あり）,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG1,金枠同盟：12VP（緑面あり）,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG1,金枠同盟：12VP（緑面あり）,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG1,金枠同盟：12VP（緑面あり）,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG2,金枠同盟：任意の技術タイル1枚,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG2,金枠同盟：任意の技術タイル1枚,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG2,金枠同盟：任意の技術タイル1枚,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG2,金枠同盟：任意の技術タイル1枚,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG3,金枠同盟：距離無限の鉱山建設,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG3,金枠同盟：距離無限の鉱山建設,エクリプス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG3,金枠同盟：距離無限の鉱山建設,リベリオン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG3,金枠同盟：距離無限の鉱山建設,T.F.マーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDG4,金枠同盟：3段階無料改造＋鉱山建設,トワイライト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
