対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人
TS1,鉱石1+QIC1,惑星,11,15,18,11,15,18,18,18,15,15,18,11,15,15
TS1,鉱石1+QIC1,航法,11,15,18,7,15,18,18,18,15,7,15,15,15,15
TS1,鉱石1+QIC1,人工知能,11,15,18,11,15,18,18,18,11,15,11,11,15,15
TS1,鉱石1+QIC1,ガイア,11,11,11,7,11,11,11,11,11,15,11,11,11,15
TS1,鉱石1+QIC1,経済,11,15,15,11,15,15,18,15,11,11,18,15,15,15
TS1,鉱石1+QIC1,科学,11,11,11,11,11,11,11,11,11,11,11,11,15,11
TS2,惑星種類×知識1,惑星,5,5,5,5,6,5,5,8,10,8,5,5,8,5
TS2,惑星種類×知識1,航法,5,5,5,4,6,5,5,5,9,5,5,5,5,5
TS2,惑星種類×知識1,人工知能,5,5,8,5,8,8,8,8,11,8,6,5,8,6
TS2,惑星種類×知識1,ガイア,4,5,5,4,5,5,5,5,5,5,5,5,5,5
TS2,惑星種類×知識1,経済,5,5,5,5,5,5,5,5,6,5,5,5,5,5
TS2,惑星種類×知識1,科学,5,5,5,5,6,5,5,5,6,5,5,5,8,5
TS3,パワー値4,惑星,12,15,12,12,12,12,12,12,12,12,12,15,12,12
TS3,パワー値4,航法,18,15,12,15,15,15,12,12,12,12,12,18,12,12
TS3,パワー値4,人工知能,12,15,15,12,15,12,12,12,12,12,12,18,12,15
TS3,パワー値4,ガイア,18,9,9,18,6,9,9,15,9,18,12,15,6,18
TS3,パワー値4,経済,12,12,12,12,15,12,15,12,12,12,15,18,15,15
TS3,パワー値4,科学,12,12,12,12,12,12,12,12,12,12,12,12,12,12
TS4,7VP,惑星,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,航法,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,人工知能,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,ガイア,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,経済,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,科学,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS5,鉱石1+パワー1,惑星,11,14,14,14,14,14,14,14,14,14,14,11,14,14
TS5,鉱石1+パワー1,航法,14,14,14,14,16,16,16,16,14,9,11,16,14,16
TS5,鉱石1+パワー1,人工知能,9,9,14,9,11,11,11,11,9,9,11,9,11,14
TS5,鉱石1+パワー1,ガイア,14,9,9,14,4,9,9,11,9,16,9,9,4,14
TS5,鉱石1+パワー1,経済,9,16,14,9,16,16,16,16,11,14,16,14,16,16
TS5,鉱石1+パワー1,科学,9,9,9,9,11,9,9,9,11,9,9,9,11,9
TS6,知識1+クレ1,惑星,11,16,11,11,16,16,16,14,16,16,16,14,14,14
TS6,知識1+クレ1,航法,16,16,16,16,19,19,16,16,16,11,16,16,16,16
TS6,知識1+クレ1,人工知能,14,14,16,11,14,16,11,16,11,11,11,14,11,14
TS6,知識1+クレ1,ガイア,19,11,11,11,11,11,8,11,11,19,11,11,8,16
TS6,知識1+クレ1,経済,11,16,11,11,16,19,19,19,16,16,19,16,19,14
TS6,知識1+クレ1,科学,14,16,11,19,16,16,16,14,14,14,19,14,19,16
TS7,Ga3VP,惑星,12,8,8,12,8,8,8,8,8,8,8,8,8,8
TS7,Ga3VP,航法,16,8,8,16,8,8,8,8,8,8,8,8,8,10
TS7,Ga3VP,人工知能,12,8,8,8,8,8,8,8,8,12,8,8,8,10
TS7,Ga3VP,ガイア,16,8,8,16,8,8,8,10,8,10,8,12,8,12
TS7,Ga3VP,経済,10,8,8,10,8,8,8,8,8,8,8,8,8,8
TS7,Ga3VP,科学,10,8,8,10,8,8,8,8,8,8,8,8,8,8
TS8,クレ4,惑星,15,15,15,18,15,15,15,15,15,15,15,15,15,15
TS8,クレ4,航法,18,18,18,20,18,20,20,18,18,10,18,18,18,18
TS8,クレ4,人工知能,12,12,18,10,12,12,12,12,12,12,12,12,12,12
TS8,クレ4,ガイア,20,10,10,18,10,10,10,10,10,20,10,12,10,10
TS8,クレ4,経済,15,18,18,15,18,18,20,15,15,18,18,18,18,18
TS8,クレ4,科学,10,12,12,10,10,12,12,12,10,10,12,15,12,12
TS9,パワー4,惑星,12,17,15,15,21,17,17,17,17,17,17,17,21,17
TS9,パワー4,航法,21,21,21,21,27,21,21,21,21,12,21,21,21,17
TS9,パワー4,人工知能,12,12,21,12,21,17,17,17,17,17,17,17,17,17
TS9,パワー4,ガイア,21,12,12,21,3,12,12,15,12,24,12,17,7,17
TS9,パワー4,経済,12,21,17,17,27,21,24,21,17,17,24,21,24,17
TS9,パワー4,科学,17,12,12,12,12,12,12,12,12,12,12,12,15,12
