対応表,タイル,研究,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人,モウェイド人,スペースジャイアント,ティンカーロイド,ダルカニア人
TS1,鉱石1+QIC1,惑星,3,3,4,2,3,3,3,4,4,4,3,3,3,3,3,4,4,3
TS1,鉱石1+QIC1,航法,3,3,4,2,3,3,3,4,3,3,3,3,3,3,3,4,3,4
TS1,鉱石1+QIC1,人工知能,3,3,4,3,3,3,3,6,4,3,3,3,3,3,3,3,4,3
TS1,鉱石1+QIC1,ガイア,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
TS1,鉱石1+QIC1,経済,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
TS1,鉱石1+QIC1,科学,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
TS2,惑星種類×知識1,惑星,5,5,6,8,5,5,5,5,10,5,5,5,5,5,5,10,8,5
TS2,惑星種類×知識1,航法,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,8,5,10
TS2,惑星種類×知識1,人工知能,5,5,8,5,5,5,5,5,8,5,5,5,5,5,5,5,6,5
TS2,惑星種類×知識1,ガイア,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5
TS2,惑星種類×知識1,経済,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
TS2,惑星種類×知識1,科学,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
TS3,パワー値4,惑星,4,4,5,4,4,5,4,5,4,4,4,4,4,4,6,4,8,4
TS3,パワー値4,航法,4,4,5,4,8,6,4,5,4,4,4,4,4,4,6,4,4,4
TS3,パワー値4,人工知能,4,4,6,4,4,4,4,6,4,4,4,5,4,4,4,4,6,4
TS3,パワー値4,ガイア,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4
TS3,パワー値4,経済,4,4,4,4,8,5,4,4,4,4,4,5,8,4,8,4,4,4
TS3,パワー値4,科学,4,4,4,4,4,4,4,4,4,4,4,6,8,5,4,4,6,4
TS4,7VP,惑星,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,航法,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,人工知能,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,ガイア,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,経済,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS4,7VP,科学,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
TS5,鉱石1+パワー1,惑星,9,9,9,14,9,9,9,9,14,9,9,9,9,9,11,18,14,9
TS5,鉱石1+パワー1,航法,9,9,9,11,14,9,9,9,9,9,9,9,9,9,11,14,9,9
TS5,鉱石1+パワー1,人工知能,9,9,9,9,9,9,9,9,11,9,9,9,9,9,9,9,11,9
TS5,鉱石1+パワー1,ガイア,9,9,9,14,9,9,9,9,9,9,9,9,9,14,9,9,9,9
TS5,鉱石1+パワー1,経済,9,9,9,9,14,9,9,9,9,9,9,9,14,9,14,9,9,9
