カテゴリ,対応表,タイル,地球人,ランティダ人,ゼノ族,グリーン人,タクロン族,アンバス人,ハッシュ・ホラ人,ダー・シュワーム人,ジオデン人,バルタック人,フィラク族,マッドアンドロイド,ネヴラ人,イタル人
ブースター,RB01,収入：鉱石1・知識1,6,6,6,8,6,6,6,6,8,6,8,8,8,6
ブースター,RB02,収入：クレジット2・QIC1,6,6,8,4,6,6,8,10,6,6,6,6,6,6
ブースター,RB03,収入：パワートークン2・鉱石1,6,6,6,6,10,6,6,6,6,6,6,6,8,10
ブースター,RB04,収入：クレジット2／特別：鉱山建設（改造1無料）,6,8,8,6,6,6,6,6,8,6,6,6,6,6
ブースター,RB05,収入：パワー2／特別：鉱山建設orガイア計画（距離+3）,8,6,6,8,6,6,6,6,6,10,6,6,6,8
ブースター,RB06,収入：鉱石1／パス：鉱山×1VP,6,10,8,6,6,6,6,6,6,6,6,6,6,6
ブースター,RB07,収入：知識1／パス：研究所×3VP,6,8,6,4,6,6,6,6,6,6,10,8,6,6
ブースター,RB08,収入：鉱石1／パス：交易所×2VP,6,6,6,6,8,6,10,6,6,6,8,6,8,6
ブースター,RB09,収入：パワー4／パス：学院・首府×4VP,6,6,6,6,6,8,6,6,6,6,6,8,10,8
ブースター,RB10,収入：クレジット4／パス：ガイア惑星×1VP,8,6,6,10,6,6,8,6,6,8,6,6,6,8
最終得点,FS01,同盟内の建造物 最多,9,9,13,9,9,11,9,13,9,9,9,9,9,9
最終得点,FS02,建造物 最多,9,13,11,9,11,9,9,9,9,9,9,9,9,9
最終得点,FS03,惑星の種類 最多,9,9,11,11,9,9,9,9,13,9,9,9,9,9
最終得点,FS04,ガイア惑星 最多,13,9,9,13,9,9,9,9,9,11,9,9,9,13
最終得点,FS05,入植宙域 最多,9,11,9,9,11,11,9,7,9,5,9,9,9,9
最終得点,FS06,衛星 最多,9,9,9,9,9,9,9,13,9,9,9,9,9,9
同盟タイル,FED12,同盟：12VP,8,8,8,8,8,8,8,8,8,8,8,8,8,8
同盟タイル,FED8Q,同盟：8VP＋QIC1,8,8,10,6,8,8,8,10,8,8,8,8,8,8
同盟タイル,FED8PT,同盟：8VP＋パワートークン2,8,8,8,8,10,8,8,8,8,8,8,8,10,10
同盟タイル,FED7O,同盟：7VP＋鉱石2,8,8,8,10,8,8,8,8,10,8,8,8,8,8
同盟タイル,FED7C,同盟：7VP＋クレジット6,8,8,8,8,8,8,10,8,8,8,8,8,8,8
同盟タイル,FED6K,同盟：6VP＋知識2,8,10,8,8,8,8,8,8,8,8,10,10,10,8
